experiment,fri,gsi,adopters,N,avg_of_thresholds,experiment_id,topology
349,0.6,0.0,0,400,0,MD-B,smallworld
350,0.7925,0.0,0,400,0,MD-B,smallworld
351,0.605,0.0,0,400,0,MD-B,smallworld
352,0.6625,0.0,0,400,0,MD-B,smallworld
353,0.6425,0.0,0,400,0,MD-B,smallworld
354,0.5725,0.0,0,400,0,MD-B,smallworld
355,0.5125,0.0,0,400,0,MD-B,smallworld
356,0.5875,0.0,0,400,0,MD-B,smallworld
357,0.7525,0.0,0,400,0,MD-B,smallworld
358,0.425,0.0,0,400,0,MD-B,smallworld
359,0.555,0.0,0,400,0,MD-B,smallworld
360,0.7,0.0,0,400,0,MD-B,smallworld
361,0.8775,0.0,0,400,0,MD-B,smallworld
362,0.7675,0.0,0,400,0,MD-B,smallworld
363,0.6325,0.0,0,400,0,MD-B,smallworld
364,0.595,0.0,0,400,0,MD-B,smallworld
365,0.5325,0.0,0,400,0,MD-B,smallworld
366,0.515,0.0,0,400,0,MD-B,smallworld
367,0.685,0.0,0,400,0,MD-B,smallworld
368,0.69,0.0,0,400,0,MD-B,smallworld
369,0.4625,0.0,0,400,0,MD-B,smallworld
370,0.5475,0.0,0,400,0,MD-B,smallworld
371,0.5575,0.0,0,400,0,MD-B,smallworld
372,0.3925,0.0,0,400,0,MD-B,smallworld
373,0.6575,0.0,0,400,0,MD-B,smallworld
374,0.4625,0.0,0,400,0,MD-B,smallworld
375,0.755,0.0,0,400,0,MD-B,smallworld
376,0.575,0.0,0,400,0,MD-B,smallworld
377,0.6975,0.0,0,400,0,MD-B,smallworld
378,0.3075,0.0,0,400,0,MD-B,smallworld
379,0.5425,0.0,0,400,0,MD-B,smallworld
380,0.615,0.0,0,400,0,MD-B,smallworld
381,0.4825,0.0,0,400,0,MD-B,smallworld
382,0.695,0.0,0,400,0,MD-B,smallworld
383,0.69,0.0,0,400,0,MD-B,smallworld
384,0.7375,0.0,0,400,0,MD-B,smallworld
385,0.7875,0.0,0,400,0,MD-B,smallworld
386,0.545,0.0,0,400,0,MD-B,smallworld
387,0.5675,0.0,0,400,0,MD-B,smallworld
388,0.68,0.0,0,400,0,MD-B,smallworld
389,0.695,0.0,0,400,0,MD-B,smallworld
390,0.71,0.0,0,400,0,MD-B,smallworld
391,0.705,0.0,0,400,0,MD-B,smallworld
392,0.475,0.0,0,400,0,MD-B,smallworld
393,0.8025,0.0,0,400,0,MD-B,smallworld
394,0.5275,0.0,0,400,0,MD-B,smallworld
395,0.6175,0.0,0,400,0,MD-B,smallworld
396,0.5575,0.0,0,400,0,MD-B,smallworld
397,0.4525,0.0,0,400,0,MD-B,smallworld
398,0.59,0.0,0,400,0,MD-B,smallworld
399,0.635,0.0,0,400,0,MD-B,smallworld
400,0.6575,0.0,0,400,0,MD-B,smallworld
