experiment,fri,gsi,adopters,N,avg_of_thresholds,experiment_id,topology
375,0.6325,0.0,0,400,0,MD-B,lattice
376,0.59,0.0,0,400,0,MD-B,lattice
377,0.71,0.0,0,400,0,MD-B,lattice
378,0.6225,0.0,0,400,0,MD-B,lattice
379,0.7075,0.0,0,400,0,MD-B,lattice
380,0.7325,0.0,0,400,0,MD-B,lattice
381,0.6625,0.0,0,400,0,MD-B,lattice
382,0.565,0.0,0,400,0,MD-B,lattice
383,0.71,0.0,0,400,0,MD-B,lattice
384,0.4725,0.0,0,400,0,MD-B,lattice
385,0.5625,0.0,0,400,0,MD-B,lattice
386,0.6025,0.0,0,400,0,MD-B,lattice
387,0.5375,0.0,0,400,0,MD-B,lattice
388,0.6225,0.0,0,400,0,MD-B,lattice
389,0.615,0.0,0,400,0,MD-B,lattice
390,0.5175,0.0,0,400,0,MD-B,lattice
391,0.5325,0.0,0,400,0,MD-B,lattice
392,0.7725,0.0,0,400,0,MD-B,lattice
393,0.795,0.0,0,400,0,MD-B,lattice
394,0.6625,0.0,0,400,0,MD-B,lattice
395,0.645,0.0,0,400,0,MD-B,lattice
396,0.495,0.0,0,400,0,MD-B,lattice
397,0.5825,0.0,0,400,0,MD-B,lattice
398,0.585,0.0,0,400,0,MD-B,lattice
399,0.47,0.0,0,400,0,MD-B,lattice
400,0.5225,0.0,0,400,0,MD-B,lattice
401,0.5325,0.0,0,400,0,MD-B,lattice
402,0.575,0.0,0,400,0,MD-B,lattice
403,0.565,0.0,0,400,0,MD-B,lattice
404,0.405,0.0,0,400,0,MD-B,lattice
405,0.6475,0.0,0,400,0,MD-B,lattice
406,0.8625,0.0,0,400,0,MD-B,lattice
407,0.6125,0.0,0,400,0,MD-B,lattice
408,0.4125,0.0,0,400,0,MD-B,lattice
409,0.565,0.0,0,400,0,MD-B,lattice
410,0.6475,0.0,0,400,0,MD-B,lattice
411,0.5475,0.0,0,400,0,MD-B,lattice
412,0.5925,0.0,0,400,0,MD-B,lattice
413,0.42,0.0,0,400,0,MD-B,lattice
414,0.7275,0.0,0,400,0,MD-B,lattice
415,0.74,0.0,0,400,0,MD-B,lattice
416,0.5875,0.0,0,400,0,MD-B,lattice
417,0.66,0.0,0,400,0,MD-B,lattice
418,0.48,0.0,0,400,0,MD-B,lattice
419,0.445,0.0,0,400,0,MD-B,lattice
420,0.6625,0.0,0,400,0,MD-B,lattice
421,0.445,0.0,0,400,0,MD-B,lattice
422,0.59,0.0,0,400,0,MD-B,lattice
423,0.485,0.0,0,400,0,MD-B,lattice
424,0.4525,0.0,0,400,0,MD-B,lattice
425,0.5325,0.0,0,400,0,MD-B,lattice
426,0.5975,0.0,0,400,0,MD-B,lattice
427,0.5225,0.0,0,400,0,MD-B,lattice
428,0.385,0.0,0,400,0,MD-B,lattice
429,0.5725,0.0,0,400,0,MD-B,lattice
430,0.66,0.0,0,400,0,MD-B,lattice
431,0.6575,0.0,0,400,0,MD-B,lattice
432,0.45,0.0,0,400,0,MD-B,lattice
433,0.58,0.0,0,400,0,MD-B,lattice
434,0.5125,0.0,0,400,0,MD-B,lattice
435,0.6025,0.0,0,400,0,MD-B,lattice
436,0.53,0.0,0,400,0,MD-B,lattice
437,0.4575,0.0,0,400,0,MD-B,lattice
438,0.7625,0.0,0,400,0,MD-B,lattice
439,0.4775,0.0,0,400,0,MD-B,lattice
440,0.5275,0.0,0,400,0,MD-B,lattice
441,0.555,0.0,0,400,0,MD-B,lattice
442,0.625,0.0,0,400,0,MD-B,lattice
443,0.4375,0.0,0,400,0,MD-B,lattice
444,0.6275,0.0,0,400,0,MD-B,lattice
445,0.535,0.0,0,400,0,MD-B,lattice
446,0.6375,0.0,0,400,0,MD-B,lattice
447,0.5825,0.0,0,400,0,MD-B,lattice
448,0.7525,0.0,0,400,0,MD-B,lattice
449,0.485,0.0,0,400,0,MD-B,lattice
450,0.5725,0.0,0,400,0,MD-B,lattice
451,0.6075,0.0,0,400,0,MD-B,lattice
